"Date","Open","High","Low","Close"
"31 Jan 2019","11685.65","11791.15","11668.35","11781.55"
"30 Jan 2019","11603.05","11632.55","11537.80","11611.60"
"29 Jan 2019","11505.60","11587.10","11429.85","11527.75"
"28 Jan 2019","11796.00","11799.65","11490.15","11542.15"
"25 Jan 2019","12032.10","12079.15","11788.55","11822.80"
"24 Jan 2019","12075.55","12086.90","11967.95","11984.70"
"23 Jan 2019","12078.00","12135.00","12039.40","12056.25"
"22 Jan 2019","12006.55","12070.60","11980.35","12056.65"
"21 Jan 2019","12068.20","12126.80","12010.30","12024.90"
"18 Jan 2019","12130.20","12152.00","12029.50","12048.15"
"17 Jan 2019","12160.05","12178.95","12075.60","12103.35"
"16 Jan 2019","12083.55","12230.55","12079.90","12118.80"
"15 Jan 2019","12016.90","12084.20","12006.90","12074.35"
"14 Jan 2019","12020.85","12028.70","11938.35","11983.35"
"11 Jan 2019","12024.50","12046.70","11967.40","12020.10"
"10 Jan 2019","12009.30","12052.50","11990.25","12015.30"
"09 Jan 2019","12013.65","12043.95","11925.95","11995.55"
"08 Jan 2019","11992.55","12003.00","11932.75","11948.90"
"07 Jan 2019","12041.60","12059.70","11958.30","11982.10"
"04 Jan 2019","12012.80","12050.40","11865.50","11945.25"
"03 Jan 2019","12114.90","12186.30","11981.95","11993.65"
"02 Jan 2019","12139.55","12242.45","12081.50","12108.15"
"01 Jan 2019","12207.50","12211.05","12137.45","12184.85"
"31 Dec 2018","12209.65","12219.10","12158.55","12191.25"
"28 Dec 2018","12100.90","12166.35","12098.75","12141.25"
"27 Dec 2018","12060.70","12120.05","12031.95","12051.80"
"26 Dec 2018","11955.15","12013.05","11727.65","11951.50"
"24 Dec 2018","12252.30","12263.80","11980.95","11992.80"
"21 Dec 2018","12456.25","12486.30","12201.40","12225.55"
"20 Dec 2018","12450.45","12539.20","12424.40","12440.35"
"19 Dec 2018","12509.70","12542.45","12482.50","12508.30"
"18 Dec 2018","12425.90","12490.65","12374.90","12474.70"
"17 Dec 2018","12504.85","12513.85","12403.70","12446.95"
"14 Dec 2018","12425.95","12485.50","12367.40","12449.65"
"13 Dec 2018","12424.85","12518.55","12394.20","12446.50"
"12 Dec 2018","12099.35","12344.20","12096.30","12335.95"
"11 Dec 2018","11649.30","12052.75","11645.75","12028.15"
"10 Dec 2018","11861.15","11900.30","11769.45","11835.45"
"07 Dec 2018","12125.65","12149.90","12032.40","12097.35"
"06 Dec 2018","12213.75","12229.95","12040.25","12071.25"
"05 Dec 2018","12357.80","12382.40","12241.70","12300.85"
"04 Dec 2018","12466.00","12505.70","12427.60","12440.40"
"03 Dec 2018","12517.15","12527.10","12398.05","12466.55"
"30 Nov 2018","12323.85","12470.40","12319.80","12445.75"
"29 Nov 2018","12351.50","12355.00","12248.25","12286.65"
"28 Nov 2018","12378.85","12417.05","12283.90","12298.10"
"27 Nov 2018","12276.65","12375.05","12267.20","12361.85"
"26 Nov 2018","12225.70","12286.85","12055.80","12270.10"
"22 Nov 2018","12291.70","12377.15","12165.25","12184.30"
"21 Nov 2018","12363.45","12365.55","12176.95","12267.20"
"20 Nov 2018","12489.10","12508.00","12345.75","12362.90"
"19 Nov 2018","12397.90","12478.15","12349.90","12466.90"
"16 Nov 2018","12389.35","12440.50","12325.35","12374.40"
"15 Nov 2018","12328.80","12427.00","12281.15","12362.75"
"14 Nov 2018","12406.15","12412.05","12273.85","12328.05"
"13 Nov 2018","12250.40","12368.20","12192.10","12357.70"
"12 Nov 2018","12343.10","12399.65","12271.95","12290.95"
"09 Nov 2018","12291.75","12313.30","12214.65","12303.80"
"07 Nov 2018","12242.40","12267.35","12219.15","12256.70"
"06 Nov 2018","12230.55","12269.80","12088.60","12137.15"
"05 Nov 2018","12292.00","12351.15","12127.35","12190.95"
"02 Nov 2018","12500.55","12535.55","12261.95","12284.55"
"01 Nov 2018","12468.00","12529.25","12389.50","12400.95"
"31 Oct 2018","12136.35","12343.20","12024.35","12332.70"
"30 Oct 2018","12076.20","12189.60","12015.00","12068.80"
"29 Oct 2018","11895.85","12048.20","11812.30","12030.05"
"26 Oct 2018","11673.00","11846.25","11522.15","11702.80"
"25 Oct 2018","11659.70","11723.75","11541.65","11668.65"
"24 Oct 2018","11891.95","11961.50","11680.00","11809.85"
"23 Oct 2018","11829.30","11991.50","11693.80","11793.05"
"22 Oct 2018","12325.15","12338.55","11949.60","11985.95"
"19 Oct 2018","12356.70","12379.90","12086.65","12237.90"
"17 Oct 2018","12843.55","12888.45","12390.10","12464.25"
"16 Oct 2018","12413.80","12649.55","12394.10","12633.85"
"15 Oct 2018","12224.30","12305.50","12193.85","12281.05"
"12 Oct 2018","12042.70","12155.45","12024.45","12065.85"
"11 Oct 2018","11563.35","12012.95","11504.65","11836.20"
"10 Oct 2018","11510.15","11949.40","11510.15","11936.55"
"09 Oct 2018","11570.40","11604.10","11301.40","11429.95"
"08 Oct 2018","11684.15","11739.80","11373.50","11535.20"
"05 Oct 2018","11892.70","11979.25","11704.65","11761.40"
"04 Oct 2018","12201.20","12204.55","11900.55","11991.65"
"03 Oct 2018","12495.95","12559.15","12362.90","12391.65"
"01 Oct 2018","12355.65","12510.60","12098.85","12473.85"
"28 Sep 2018","12763.95","12788.85","12270.35","12415.75"
"27 Sep 2018","13088.50","13100.15","12736.95","12761.80"
"26 Sep 2018","13223.50","13293.45","13002.85","13094.05"
"25 Sep 2018","13344.10","13344.90","12960.45","13164.50"
"24 Sep 2018","13737.20","13759.15","13361.45","13421.90"
"21 Sep 2018","14103.40","14158.85","12919.60","13738.70"
"19 Sep 2018","14270.55","14318.70","13954.95","14060.65"
"18 Sep 2018","14322.15","14435.05","14194.75","14210.40"
"17 Sep 2018","14352.75","14394.30","14246.80","14310.35"
"14 Sep 2018","14346.00","14413.10","14302.20","14394.75"
"12 Sep 2018","14241.70","14274.35","14066.65","14247.10"
"11 Sep 2018","14484.65","14547.65","14206.15","14230.55"
"10 Sep 2018","14663.40","14705.15","14424.90","14445.15"
"07 Sep 2018","14607.40","14672.05","14380.60","14641.45"
"06 Sep 2018","14551.70","14604.55","14463.30","14564.65"
"05 Sep 2018","14516.25","14520.35","14277.70","14480.30"
"04 Sep 2018","14821.30","14839.75","14459.60","14528.10"
"03 Sep 2018","14991.75","14996.10","14781.15","14803.15"
"31 Aug 2018","14767.65","14925.35","14740.55","14877.95"
"30 Aug 2018","14740.65","14788.00","14695.05","14751.60"
"29 Aug 2018","14801.60","14851.05","14714.80","14728.35"
"28 Aug 2018","14776.50","14837.65","14736.30","14795.90"
"27 Aug 2018","14594.00","14789.15","14586.90","14721.45"
"24 Aug 2018","14584.90","14643.00","14436.75","14491.70"
"23 Aug 2018","14757.45","14781.50","14568.40","14615.00"
"21 Aug 2018","14651.85","14743.80","14559.35","14703.40"
"20 Aug 2018","14696.50","14745.90","14595.25","14607.20"
"17 Aug 2018","14643.50","14707.15","14609.85","14687.00"
"16 Aug 2018","14496.85","14627.40","14469.50","14534.90"
"14 Aug 2018","14411.30","14532.15","14408.35","14524.75"
"13 Aug 2018","14352.60","14433.50","14207.65","14337.40"
"10 Aug 2018","14506.05","14585.05","14400.65","14426.10"
"09 Aug 2018","14464.55","14527.00","14386.80","14478.50"
"08 Aug 2018","14172.25","14449.20","14112.70","14400.50"
"07 Aug 2018","14414.60","14435.20","14059.30","14185.65"
"06 Aug 2018","14439.15","14495.00","14300.80","14338.10"
"03 Aug 2018","14328.05","14375.10","14263.80","14354.10"
